Component 1,Component 2,labels
56.146423,4.3877974,Poor
38.912373,8.315865,Moderate
50.51187,9.953376,Poor
43.7077,9.247965,Poor
59.236946,4.2745996,Poor
36.00455,8.50996,Moderate
21.745226,-2.7857752,Fair
30.431625,3.4534235,Moderate
24.350555,10.62946,Fair
19.996243,21.984913,Moderate
13.658402,8.598759,Moderate
18.607134,14.108764,Moderate
20.904182,18.076748,Moderate
30.76487,12.876595,Moderate
18.487898,-5.489288,Fair
30.88146,12.737405,Moderate
23.370087,-3.97687,Moderate
37.698284,14.925162,Moderate
2.839774,17.246557,Fair
14.401912,-6.418063,Fair
18.121172,0.34683853,Fair
-3.2392788,1.3564442,Fair
4.642863,18.60157,Fair
51.544544,-3.294014,Poor
26.49985,-8.085186,Moderate
59.744984,8.233333,Poor
42.815777,11.098421,Poor
55.57053,0.030558331,Poor
35.23632,-2.412081,Fair
29.850538,2.9032795,Moderate
14.542971,-7.8358197,Fair
13.004178,-4.5328507,Fair
43.4805,-5.6517563,Moderate
48.985863,-9.666868,Moderate
63.086304,-0.9770445,Poor
53.297268,-2.2848294,Moderate
60.644436,1.5210717,Poor
37.58919,5.413694,Moderate
38.566402,-11.37529,Fair
27.090025,6.1144333,Fair
25.39563,4.548422,Fair
32.315266,16.123209,Fair
64.0426,-0.275143,Poor
51.226185,-8.194948,Moderate
60.627056,1.9104118,Poor
59.093987,-1.1751775,Poor
61.99265,-0.15827005,Poor
39.558968,-11.430051,Moderate
35.784847,9.347565,Moderate
26.302605,-17.522234,Fair
29.82576,16.679703,Moderate
21.795067,15.980524,Moderate
0.55610704,23.264614,Fair
-1.1059518,1.2102164,Fair
-16.568909,-16.065935,Fair
7.3931828,-2.5730488,Fair
1.9067621,-13.195109,Fair
6.8074613,-0.6466834,Fair
-3.7767334,-15.464515,Fair
-3.9637837,-15.935568,Fair
-32.24986,-15.750183,Fair
-31.219568,-14.466336,Fair
-18.96099,0.7847412,Fair
31.54363,10.393248,Moderate
22.483967,11.895446,Moderate
48.040966,13.761206,Poor
16.881365,0.6093751,Fair
44.00409,20.846193,Moderate
12.284661,-8.7051735,Fair
13.742138,2.1626625,Fair
8.439129,3.8266623,Fair
-8.107105,-1.2728477,Fair
-12.317049,22.394009,Fair
52.293556,-7.639493,Poor
52.041656,-4.942192,Moderate
34.37222,-22.06497,Fair
34.237324,-26.465082,Fair
37.782253,-9.261276,Fair
22.272226,-6.658465,Fair
35.646694,5.9804196,Moderate
18.568039,-9.172263,Fair
17.913168,-8.479121,Fair
14.395654,-9.764885,Fair
18.643402,-0.23001121,Fair
4.253837,23.48335,Moderate
4.418799,23.358826,Fair
-18.831018,-4.659085,Fair
-14.161054,-6.072433,Fair
-4.3468137,21.15969,Fair
-4.06512,20.678043,Fair
-1.26794,22.675385,Fair
-13.380536,-5.386377,Fair
-25.416769,-3.376205,Fair
-24.688335,3.1700842,Fair
-25.410017,11.499871,Fair
-25.43595,12.12133,Fair
19.618357,14.849561,Moderate
18.905178,12.773853,Fair
18.880178,16.71038,Fair
-9.337726,19.702818,Fair
1.1804243,23.614182,Moderate
0.52143836,29.254658,Moderate
-0.3998106,28.81258,Moderate
-0.37983012,27.459715,Fair
-12.013348,23.276073,Fair
1.0647141,26.934544,Moderate
-10.049161,23.99548,Fair
-0.37578523,27.682114,Moderate
-11.711215,23.208933,Fair
-29.039167,9.576739,Fair
-30.518614,16.824972,Fair
-30.893625,16.427809,Fair
-31.537004,17.240124,Fair
50.999542,6.7129693,Poor
45.184437,20.292017,Moderate
42.356148,20.780027,Moderate
13.737975,20.795765,Moderate
59.45553,2.7886999,Poor
35.610073,15.263068,Moderate
26.576906,8.68687,Fair
19.79613,15.747113,Moderate
18.204704,20.187084,Fair
18.81536,18.16699,Fair
-59.635956,4.9593487,Fair
-54.430008,-0.88830477,Fair
-54.076355,-0.31278172,Fair
-54.266296,-3.6407938,Fair
-61.39317,9.698477,Fair
-59.310238,5.50921,Fair
-64.93562,8.570059,Fair
-65.05479,8.893062,Fair
-63.08593,5.3940387,Fair
-63.909218,8.61056,Fair
-14.918033,-16.192911,Fair
-18.571192,-19.36167,Fair
27.580997,-24.847107,Fair
2.4102135,-20.74176,Fair
-7.96118,-4.278056,Fair
-17.60035,-17.548094,Fair
-25.290117,-18.713238,Fair
-25.70687,-15.038987,Fair
-32.791946,-18.023766,Fair
-29.657803,1.8410177,Fair
-25.507816,3.1213362,Fair
-19.338848,-22.726171,Fair
-21.312029,-21.539001,Fair
-25.893074,1.3197955,Fair
-26.147682,-17.699951,Fair
-35.430885,0.8826261,Fair
-42.36767,-15.232276,Fair
-51.23519,-8.995353,Fair
-50.59837,-8.668118,Fair
-55.206306,-1.8177654,Fair
12.788421,-5.572715,Fair
21.333508,4.895421,Fair
9.0073,-11.464323,Fair
0.4238627,-14.90206,Fair
6.768762,-1.6690979,Fair
-4.8060346,-11.563901,Fair
38.842255,23.616892,Poor
-16.974073,-23.172272,Fair
-20.519272,-21.334837,Fair
-18.863062,-18.224154,Fair
-16.980112,-23.66441,Fair
-14.617477,-23.229229,Fair
-17.771639,-24.014599,Fair
-22.873154,-20.799826,Fair
-26.333038,-18.230759,Fair
-25.574926,-16.270105,Fair
-20.801592,-14.693317,Fair
41.96982,-16.300497,Fair
25.649801,-18.642876,Fair
31.737942,-21.51406,Fair
24.775394,-22.779408,Fair
24.075245,-21.910257,Fair
27.508707,-22.646074,Fair
10.180221,-25.137514,Fair
11.531486,-27.342644,Fair
9.438654,-26.678644,Fair
-11.384376,-22.84142,Fair
-15.753559,-23.15506,Fair
-11.181384,-24.33725,Fair
-18.235603,-22.6678,Fair
-21.125494,-21.999191,Fair
-19.83322,-20.78604,Fair
-18.998018,-21.171923,Fair
-20.180975,-17.50576,Fair
-13.27318,-22.810486,Fair
-15.259902,-22.378048,Fair
-13.618031,-22.864883,Fair
-18.32475,-21.27463,Fair
-23.016523,-19.996534,Fair
-18.556793,-19.779491,Fair
-17.941484,-18.49509,Fair
-19.58916,-17.255636,Fair
68.198944,-0.4869094,Poor
68.37875,0.12533394,Poor
59.166508,3.0149794,Poor
63.50093,6.298397,Poor
56.865284,11.786965,Poor
63.473614,10.083568,Poor
55.334446,4.5044036,Poor
49.079975,-8.592509,Moderate
40.003613,-9.881407,Moderate
51.8254,-6.669948,Moderate
51.777275,-4.456632,Moderate
50.633076,-7.3756433,Moderate
36.85017,-12.979056,Fair
28.120358,-14.583582,Fair
25.082594,9.377913,Fair
23.73244,7.2440257,Fair
32.115932,15.553835,Moderate
41.19838,-12.43722,Moderate
-6.123206,17.695068,Fair
-6.8143373,18.863981,Fair
-53.9531,-9.284352,Fair
-53.24287,-10.029915,Fair
-52.43737,-10.003288,Fair
-41.259487,-20.141016,Fair
-52.58713,-10.76103,Fair
-52.865993,-9.613459,Fair
34.20603,-21.095913,Fair
5.3683558,-29.071146,Good
25.644163,-6.710276,Moderate
24.750452,-7.773098,Moderate
21.533813,-3.8844428,Fair
8.355055,-10.783016,Fair
7.7365713,-14.24222,Fair
3.4015138,-13.118835,Fair
9.019216,-12.931418,Fair
14.312318,3.0821106,Fair
68.5642,-2.1716323,Poor
68.28164,-1.1662724,Poor
68.42414,-2.9555979,Poor
66.39101,-4.5598407,Moderate
68.890144,-1.1467341,Poor
65.215904,0.639877,Poor
61.51916,-1.6539518,Poor
67.555756,0.33106855,Poor
64.311966,-0.35070804,Poor
65.442955,-1.1950762,Poor
49.599644,-8.363272,Moderate
40.00346,-12.378505,Moderate
40.780052,5.793858,Moderate
38.877636,-12.088247,Fair
43.5732,-8.39866,Moderate
29.847755,18.206497,Moderate
39.085693,-14.3783045,Fair
49.5439,10.171222,Poor
35.150974,10.114541,Moderate
50.186558,9.956086,Poor
33.34725,10.7509775,Moderate
4.50198,21.236027,Fair
12.658018,20.574707,Moderate
27.198523,-18.153713,Fair
29.66201,16.55234,Moderate
70.02887,6.4367533,Poor
50.478115,11.184429,Poor
55.26102,6.9598217,Poor
48.12172,13.299999,Poor
57.287437,11.288545,Poor
49.797962,9.503938,Moderate
31.332556,16.236435,Moderate
15.104945,-2.930675,Fair
34.18585,18.751282,Moderate
13.896111,20.254093,Moderate
33.23331,20.33177,Moderate
11.942597,20.756317,Moderate
-0.16990319,17.517067,Fair
1.2060206,16.839832,Fair
1.8660802,14.985699,Fair
0.021195617,21.686232,Fair
70.00007,2.7948594,Poor
67.8175,3.858735,Poor
61.61835,9.687511,Poor
63.416183,9.981568,Poor
64.32801,3.0112612,Poor
69.58726,4.446769,Poor
68.61172,1.6465558,Poor
56.8084,11.609833,Poor
44.437412,20.723406,Moderate
54.237286,15.310546,Poor
38.302666,3.2403328,Moderate
49.575844,2.872543,Moderate
40.58111,-7.1162834,Moderate
39.39267,10.648195,Moderate
39.331795,19.919184,Moderate
24.92552,15.409331,Moderate
38.058975,19.9834,Moderate
64.44131,3.8894007,Poor
53.158287,-3.6197324,Moderate
62.762386,4.215781,Poor
58.46046,5.551998,Poor
63.105164,5.092767,Poor
48.62162,10.853278,Moderate
44.28698,9.996795,Moderate
38.27693,14.784308,Moderate
33.390675,15.745952,Moderate
34.052345,18.114012,Moderate
59.03893,-0.69155854,Poor
48.042095,-11.234396,Moderate
57.0449,4.2895684,Poor
38.73901,5.172483,Moderate
56.38505,5.034199,Poor
39.63951,9.70146,Moderate
38.71808,9.430861,Moderate
29.91599,5.3300147,Moderate
27.589613,9.919845,Moderate
33.006172,20.184183,Moderate
66.23907,8.724951,Poor
40.175766,7.3375225,Moderate
42.93063,5.023027,Moderate
34.68868,8.2544365,Moderate
54.38951,4.754905,Poor
37.355896,9.119231,Moderate
35.35347,10.753484,Moderate
37.895477,12.629563,Moderate
31.547127,6.413069,Fair
25.424698,3.7216282,Fair
66.57851,2.119619,Poor
69.53774,3.4630363,Poor
60.872944,1.0116841,Poor
59.248775,2.0858715,Poor
65.0885,3.0431297,Poor
58.29533,5.3740115,Poor
67.05083,0.24212055,Poor
55.548744,3.7334485,Poor
56.48306,2.12575,Poor
52.712082,5.9180303,Poor
52.328808,6.230922,Poor
44.107677,12.011354,Moderate
54.0371,14.158291,Poor
48.93527,14.768619,Poor
38.626537,18.226229,Moderate
51.473255,16.322372,Poor
49.13517,17.001707,Poor
52.53139,11.25146,Poor
29.590496,10.950808,Moderate
34.216408,14.1647625,Moderate
28.277905,3.9065657,Fair
20.865849,5.4844284,Fair
19.625156,20.219524,Fair
61.90178,6.3275785,Poor
55.05495,12.870128,Poor
48.461685,-0.009748652,Poor
55.56089,5.566812,Poor
62.52714,3.1832182,Poor
52.821896,11.37029,Poor
32.14561,18.12244,Moderate
28.805292,11.320908,Moderate
50.42426,16.276314,Poor
41.353527,22.58662,Moderate
49.929005,15.886516,Poor
28.465456,11.913022,Moderate
22.343882,13.126458,Moderate
20.389608,19.014425,Moderate
18.598595,21.250967,Fair
20.134907,20.865915,Moderate
54.163395,14.806966,Poor
36.694695,21.162651,Moderate
52.188538,15.537899,Poor
35.9108,20.914236,Moderate
52.941456,16.399876,Poor
51.606087,16.942024,Poor
49.563675,16.959806,Poor
41.127213,21.63506,Moderate
51.54177,17.481802,Poor
40.71341,20.845316,Moderate
52.267277,16.732166,Poor
18.418352,15.775769,Moderate
18.629026,17.6124,Fair
21.353489,17.697235,Moderate
17.921963,13.071368,Fair
22.660494,22.563719,Moderate
3.7911205,22.115755,Fair
32.030285,19.271322,Moderate
1.2009019,21.77463,Fair
-18.590487,-4.8132377,Fair
-16.749794,-17.283491,Fair
-4.508104,17.98684,Fair
-13.337834,-5.917375,Fair
-3.394301,20.39738,Fair
-12.624066,-3.1953278,Fair
-21.027994,-18.4646,Fair
-14.550241,-4.237072,Fair
-13.673293,-3.4129405,Fair
-6.9470572,18.275835,Fair
-64.58164,25.325499,Fair
-62.324623,10.367068,Fair
-65.99018,25.31758,Fair
-63.39662,24.258316,Fair
-65.021866,25.388908,Fair
-63.30448,24.194304,Fair
-67.65613,23.137075,Fair
-69.99434,18.823322,Fair
-69.52183,18.900396,Fair
-67.67193,22.96222,Fair
56.222637,6.4375715,Poor
64.97999,2.2627776,Poor
57.53995,-1.1602575,Poor
54.94095,-0.62032527,Poor
45.89257,-6.9500756,Moderate
61.111584,4.323868,Poor
42.33043,8.001772,Moderate
56.791935,5.7155533,Poor
41.21924,9.266406,Moderate
35.353333,10.75332,Moderate
38.31959,13.837043,Moderate
33.261787,13.420221,Moderate
37.396576,16.021225,Moderate
68.82326,-0.15034738,Poor
66.573814,1.1342393,Poor
69.624664,-1.8950689,Poor
68.54364,0.6977014,Poor
65.20806,0.19848946,Poor
56.925236,-1.5007544,Poor
64.94509,-1.7221116,Poor
66.37921,-4.144502,Poor
65.77753,-1.6320729,Poor
51.36792,-6.7134366,Moderate
44.494217,-18.05633,Fair
50.888397,-11.209536,Moderate
38.724823,-15.895521,Fair
51.97555,-6.064557,Moderate
31.23864,-26.112995,Fair
31.905888,-25.15498,Fair
7.3431983,-11.258058,Fair
6.8664565,-11.417606,Fair
1.1531545,-20.540388,Fair
2.0259314,-17.421057,Fair
11.163097,-13.62477,Fair
16.947096,-10.947853,Fair
27.03071,-25.019506,Fair
48.309185,-10.652061,Moderate
33.325188,-24.643314,Fair
33.848175,-25.14802,Fair
32.42925,-23.948565,Fair
32.490616,-23.328861,Fair
32.064777,-27.503986,Fair
56.169014,-1.9972876,Moderate
9.465858,-13.732728,Fair
-0.35780653,-19.097925,Fair
4.7845087,-30.16072,Fair
4.793634,-27.807255,Fair
4.6028037,-27.924,Fair
-71.73105,15.467108,Fair
-70.39572,18.186031,Fair
-70.05056,17.798807,Fair
-70.896576,17.724512,Fair
48.35302,-26.021273,Fair
49.047607,-26.075134,Fair
48.767086,-26.713633,Fair
48.472225,-26.98977,Fair
48.986065,-26.782005,Fair
49.062515,-27.091497,Fair
48.75234,-27.277227,Fair
35.20617,1.2787386,Fair
36.36044,5.436144,Moderate
20.169037,-10.032076,Fair
12.39167,-13.279827,Fair
22.342308,-4.411057,Fair
24.588411,-7.946293,Moderate
16.342714,-8.521258,Fair
10.927592,-12.334297,Fair
11.081426,-17.398289,Fair
7.9297757,-14.933375,Fair
13.733652,-10.360411,Fair
5.96453,-18.899796,Fair
21.076294,-20.403637,Fair
6.7394204,-21.611246,Fair
15.770084,-7.1245103,Fair
6.0458517,-19.731838,Fair
1.0617388,-25.320187,Fair
31.067352,-17.780268,Fair
27.954754,-20.64552,Fair
11.036644,-27.672907,Fair
8.638353,-27.166079,Fair
31.03494,-23.13461,Fair
34.446865,-25.475975,Fair
33.088314,-18.396025,Fair
30.808083,-23.999329,Fair
30.917183,-27.127922,Fair
31.313164,-28.153372,Fair
30.111143,-25.25831,Fair
31.38705,-27.60481,Fair
29.818428,-25.938381,Fair
30.149746,-27.98993,Fair
29.80586,-28.419493,Fair
9.159481,-27.26406,Fair
9.812842,-27.383505,Fair
6.8773785,-21.783144,Fair
60.655453,4.383596,Poor
40.288082,9.89128,Moderate
53.60972,8.376124,Poor
40.106003,10.647132,Moderate
35.849625,2.7806926,Moderate
31.867037,3.8044224,Moderate
53.53104,11.694523,Poor
38.59192,19.96577,Moderate
37.02634,15.438783,Moderate
33.142365,15.186192,Moderate
24.429438,6.8641725,Fair
21.11626,16.85027,Moderate
17.566998,18.697554,Fair
19.199587,24.02924,Fair
0.88979733,23.833567,Moderate
-1.347514,17.111816,Fair
-2.3714457,17.111933,Fair
-2.0835407,16.350073,Fair
-7.1659946,18.941994,Fair
-8.195871,19.460838,Fair
61.907917,1.5465602,Poor
67.524994,3.3822098,Poor
66.56874,4.7307186,Poor
58.452812,3.227018,Poor
39.665955,-2.7725687,Moderate
66.2617,4.6300173,Poor
54.266495,1.105735,Moderate
58.130104,4.5798974,Poor
52.193314,-1.8291727,Moderate
54.692093,3.1165826,Poor
42.708187,9.51191,Moderate
29.007797,12.01075,Moderate
37.44682,16.568295,Moderate
56.85017,0.13188133,Poor
37.82445,5.9528537,Moderate
31.827183,2.4362192,Fair
40.59406,12.721092,Moderate
18.812405,-6.289342,Fair
15.250834,-9.453616,Fair
3.348827,-20.229504,Fair
2.4383307,-19.091156,Fair
-0.81212413,-18.675222,Fair
3.7635186,-20.275646,Fair
1.6187445,-19.178963,Fair
1.8234333,-20.645065,Fair
-1.0755155,-18.398252,Fair
-1.4598829,-17.996353,Fair
-1.8725705,-17.75102,Fair
-2.7326772,-17.154999,Fair
-5.434656,-14.950415,Fair
39.551117,24.671377,Moderate
40.041843,24.606165,Moderate
41.05071,25.108288,Moderate
11.346361,8.136442,Moderate
4.3355002,-9.424188,Fair
12.154316,8.305708,Moderate
10.930661,8.459251,Moderate
11.697556,8.095739,Moderate
4.7071886,-9.138935,Fair
4.2590456,-9.981385,Fair
3.7033966,-9.639949,Fair
3.0934405,-11.045812,Fair
2.129546,-11.009447,Fair
47.754612,12.775265,Poor
31.315296,9.272934,Moderate
30.569042,9.1108465,Moderate
18.53832,-5.5130677,Fair
30.65804,11.001767,Moderate
30.421793,9.030594,Moderate
23.509203,12.645779,Moderate
18.550667,-3.4663236,Moderate
18.45406,-4.6591344,Fair
17.405426,-3.610724,Fair
7.453576,-16.134808,Fair
2.1747146,4.382013,Fair
53.60777,16.586258,Poor
52.35855,17.333439,Poor
38.522163,20.942036,Moderate
14.302888,8.085482,Moderate
41.02535,22.17476,Moderate
40.129173,24.5355,Poor
42.165684,22.354609,Moderate
12.344194,9.00153,Moderate
13.180112,8.631035,Moderate
6.1911683,1.8888674,Fair
10.962645,5.6514664,Fair
67.28694,8.101023,Poor
65.77082,4.240886,Poor
60.643066,3.9709535,Poor
48.728184,-5.9420447,Moderate
36.264282,-11.083718,Fair
60.69285,3.2385478,Poor
55.495174,0.31537712,Moderate
57.004017,1.4243854,Moderate
34.70785,7.5993023,Moderate
34.85947,1.4460707,Fair
39.720734,13.89057,Moderate
22.456804,-1.1011217,Fair
25.703283,7.909003,Fair
42.088207,12.026445,Moderate
25.800903,10.395501,Moderate
29.611729,5.7351823,Moderate
63.837925,4.237781,Poor
57.732426,6.3287497,Poor
40.995018,9.183478,Moderate
32.580128,5.2356186,Moderate
57.536007,5.8401732,Poor
53.401707,2.2423806,Poor
56.66464,4.822408,Poor
38.337032,11.650795,Moderate
36.366974,6.2884016,Moderate
42.35607,13.006781,Moderate
26.607698,11.006863,Moderate
23.59376,15.946159,Moderate
23.59403,1.77546,Fair
44.78413,3.4247856,Moderate
26.872515,8.130648,Fair
43.49777,4.001006,Moderate
25.7509,5.766405,Fair
6.5093937,18.181189,Fair
17.23846,19.630388,Fair
-5.0960436,4.2784176,Fair
0.844024,14.342267,Fair
64.12876,4.642952,Poor
70.08026,6.536293,Poor
70.13977,6.783018,Poor
59.120354,6.243185,Poor
53.07475,-2.217576,Moderate
65.760826,2.8684797,Poor
66.39212,8.273776,Poor
66.58936,6.349576,Poor
56.65834,3.8215194,Poor
66.102684,8.85325,Poor
42.556957,12.274397,Moderate
32.83603,7.699736,Moderate
36.696415,10.353367,Moderate
0.66333616,9.134094,Fair
-3.2392929,1.3565247,Fair
13.615877,19.900946,Moderate
-3.6647568,17.412132,Fair
-5.2244034,17.46922,Fair
-6.9442887,-5.6513114,Fair
2.4048724,16.8236,Fair
-9.158439,-4.6872053,Fair
-8.778409,-9.508061,Fair
-9.149122,-9.475945,Fair
-21.532324,-14.974797,Fair
-23.264196,1.7043985,Fair
5.6562037,-31.318882,Fair
44.795753,21.389221,Moderate
-33.20924,-17.20675,Fair
-9.310782,-8.453575,Fair
-47.541027,-5.1563644,Fair
-48.78723,-7.3041277,Fair
-47.747475,-6.256178,Fair
-49.965023,-8.247903,Fair
-37.38898,1.6224873,Fair
25.34157,-6.605943,Fair
-16.953947,-16.786013,Fair
-13.9160185,-6.297332,Fair
-18.813238,-15.667866,Fair
-24.99686,-15.100279,Fair
-30.135815,3.0008004,Fair
-30.32557,1.883567,Fair
-23.264196,1.7043985,Fair
-28.43681,9.038061,Fair
47.10984,-20.4998,Fair
46.368015,-19.952202,Fair
46.183422,-20.058332,Fair
46.780556,-19.722902,Fair
40.460423,-19.896076,Fair
49.850468,-9.724654,Moderate
